SN, Z, m_B_max, m_B_max_err, m_V_max, m_V_max_err, mu_0(TF), mu_0(TF)_err, mu_0, mu_0_err
1996E, 0.43, 22.72,  0.1, 22.60, 0.12, 42.03, 0.22, 41.74, 0.28
1996H, 0.62, 23.31,  0.06, 23.57, 0.06, 43.01, 0.15, 42.98, 0.17
19961, 0.57, 23.42,  0.08, 23.61, 0.08, 42.83, 0.21, 42.76, 0.19
1996J, 0.30, 22.28,  0.05, 22.06, 0.05, 40.99, 0.25, 41.38, 0.24
1996K, 0.38, 22.80,  0.05, 22.86, 0.08, 42.21, 0.18, 41.63, 0.20
1996U, 0.43, 22.77,  0.05, 22.96, 0.11, 42.34, 0.17, 42.55, 0.25
1997ce, 0.44, 22.83, 0.05, 22.92, 0.05, 42.26, 0.16, 41.95, 0.17
1997cj, 0.50, 23.29, 0.05, 23.29, 0.05, 42.70, 0.16, 42.40, 0.17
1997ck, 0.97, 24.78, 0.16,      ,     , 44.30, 0.19, 44.39, 0.30
1995K, 0.48, 22.92,  0.08, 23.07, 0.07, 42.49, 0.17, 42.45, 0.17